機器番号,型式,製造番号,カテゴリ
DC-6377,PVM-4763-Q20,90,モニタ
DC-6378,PVM-4763-Q20,91,モニタ
DC-6418,TRN-3150,125,AED
DC-6419,TRN-3150,126,AED
DC-6420,TRN-3150,127,AED
DC-6460,PVM-4763-Q20,120,モニタ
DC-6461,PVM-4763-Q20,121,モニタ
DC-6462,PVM-4763-Q20,122,モニタ
DC-6463,PVM-4763-Q20,123,モニタ
DC-6464,PVM-4763-Q20,124,モニタ
0,KC-470P,1,モニタ
0,KC-470P,2,モニタ
0,KC-470P,Y,モニタ
0,KC-470P,R,モニタ
0,KC-470P,M,モニタ
0,KC-470P,Z,モニタ
0,KC-470P,K,モニタ
0,KC-470P,H,モニタ
0,KC-470P,B,モニタ
0,AF-101P,609,モニタ
DC-6499,PVM-4763-Q20,264,モニタ
DC-6500,PVM-4763-Q20,265,モニタ
DC-6544,MEK-1302,14,検体
DC-6545,MEK-1302,15,検体
DC-6546,MEK-1302,16,検体
DC-6609,MEK-1302,82,検体
DC-6610,MEK-1302,83,検体
DC-4751,挿管ﾍｯﾄﾞ,11,検査機器
DC-6621,GF-320R,52,モニタ
DC-6652,CCXS ｺｱｸﾞﾁｪｯｸXS,UP01615174,WJ検査機器
DC-6653,CCXS ｺｱｸﾞﾁｪｯｸXS,UP01615181,WJ検査機器
DC-6709,WEP-1450-Z06,94,モニタ
DC-6710,WEP-1450-Z06,95,モニタ
DC-6711,WEP-1450-Z06,96,モニタ
DC-6712,WEP-1450-Z06,97,モニタ
DC-6713,WEP-1450-Z06,98,モニタ
DC-6714,WEP-1450-Z06,99,モニタ
DC-6715,WEP-1450-Z06,100,モニタ
DC-6717,WEP-1450-Z06,102,モニタ
DC-6944,ZS-600P,127,モニタ
DC-6945,ZS-600P,128,モニタ
DC-6946,ZS-600P,129,モニタ
DC-6991,JD-214E,24,検査機器
0,KC-140P,1,モニタ
0,KC-140P,2,モニタ
0,KC-140P,3,モニタ
DC-6974,TRN-3150,333,AED
DC-6975,TRN-3150,334,AED
DC-6976,TRN-3150,335,AED
DC-6977,TRN-3150,336,AED
DC-7011,EMS-1052,53,治療器救急関連機器
DC-7036,CCPRO2,TZ1121256,WJ検査機器
DC-7024,GF-320R,100,モニタ
0,MPG-3650,12053821,WJ検査機器
0,MPG-3650,12049228,WJ検査機器
0,MPG-3650,12049346,WJ検査機器
0,MPG-3650,12048531,WJ検査機器
0,MPG-3650,12049286,WJ検査機器
0,MPG-3650,12053576,WJ検査機器
0,MPG-3650,12051946,WJ検査機器
0,MPG-3650,12053618,WJ検査機器
0,MPG-3650,12054849,WJ検査機器
