機器番号,型式,製造番号,カテゴリ
DC-9677,BSM-5762,62,モニタ
DC-9678,BSM-5762,63,モニタ
DC-7700,EEG-1260-NE,10009,検査機器
DC-9696,QP-550D,958,検査機器
0,P225G,111741,モニタ
0,P311C,28844,モニタ
DC-9728,MDL_Armadillo,00BF00560092,0
DC-9754,BSM-5762,94,モニタ
DC-9755,BSM-5762,95,モニタ
0,QP-997P,485,人工呼吸器
DC-9877,ORG-2100-Z08,1191,モニタ
DC-9878,ORG-2100-Z08,1192,モニタ
DC-9879,NKV-330,1789,人工呼吸器
DC-9880,DSC-5500,310,検査機器
DC-9934,QP-551D,686,検査機器
DC-9983,BSM-1763,23462,モニタ
DC-9984,BSM-1763,23463,モニタ
DC-9985,BSM-1763,23464,モニタ
DC-9986,BSM-1763,23465,モニタ
DC-9987,BSM-1763,23466,モニタ
DC-9988,BSM-1763,23467,モニタ
DC-9989,BSM-1763,23468,モニタ
DC-9990,ECG-2450,5027,検査機器
DC-9991,ECG-2450,5028,検査機器
DC-9992,ECG-2550-01,20623,検査機器
DC-9993,ORG-9100-Z24,9676,検査機器
DC-9994,AED-3100,365146,治療器救急関連機器
DC-10013,RMC-5000M,15,検査機器
DC-10013,MU-500G,16,検査機器
DC-10025,JB-530G,13,検査機器
DC-9933,QP-551D,685,検査機器
0,HAMILTON-C1/W,43214,人工呼吸器
DC-10048,B10NMAT#ABJ,JPH450XVJT,システム
DC-10232,Soft ON,59,治具
DC-10233,Soft ON,60,治具
DC-10234,Soft ON,61,治具
DC-10235,Soft ON,62,治具
DC-10236,Soft ON,63,治具
DC-10237,Soft ON,64,治具
DC-10238,Soft ON,65,治具
DC-10239,Soft ON,66,治具
DC-10240,Soft ON,67,治具
DC-10241,Soft ON,68,治具
DC-10242,Soft ON,69,治具
DC-10243,Soft ON,70,治具
DC-10072,AED-3200,83,AED
DC-10073,AED-3200,41,AED
DC-10074,AED-3200,42,AED
DC-10126,TRN-3200,42,AED
DC-10127,TRN-3200,43,AED
DC-10128,TRN-3200,44,AED
DC-10129,TRN-3200,45,AED
DC-10130,TRN-3200,46,AED
DC-10131,TRN-3200,47,AED
DC-10132,TRN-3200,48,AED
0,KD-107D,1,0
DC-10304,QP-551V,13903,AED
DC-10305,QP-551V,13904,AED
0,HAMILTON-C6,13037,人工呼吸器
0,HAMILTON-T1/W,31500,人工呼吸器
0,Y086,0,検査機器
DC-10316,NKV-550-UNV,436,人工呼吸器
seirei1,ICE-ZS3,37572C619A,WJ循環器AF
seirei1,ICE-CIM,17755795,WJ循環器AF
seirei1,ICE-TTE,14556P4X119G,WJ循環器AF
toubu1,VWM-ICE-01,NW4-3C000212,WJ循環器AF
toubu1,ICE-CIM,20179711,WJ循環器AF
toubu1,L9-3S,NT5L3C032888,WJ循環器AF
toubu1,SP5-1S,NT5J3A106794,WJ循環器AF
0,ESI-ENSITEX,19199110,WJ循環器AF
0,ESI-ENSITEX,19224332,WJ循環器AF
0,ESI-ENSITEX,19397852,WJ循環器AF
0,ESI-ENSITEX,19442420,WJ循環器AF
0,ESI-ENSITEX,19913302,WJ循環器AF
0,3077,1509265,WJ循環器CRM
0,3085,1507201,WJ循環器CRM
0,89013,19935153,WJ循環器AF
DC-10339,MR850,2.50E+11,人工呼吸器
0,P310C,5366,モニタ
DC-10330,Mobile Precision3591,2XFMZB4,システム
DC-10380,WEP-1200-Z03,1482,モニタ
DC-10413,ECG-3150,1585,検査機器
DC-10414,ECG-3150,1586,検査機器
DC-10351,HBP-8000,GC000843AF,WJ検査機器
DC-10362,HBP-8000用PC＆プリンタ,DEMO-41,WJ検査機器
0,ND-896V,388,治療器救急関連機器
TB-0764,ECG-3150,956,検査機器
TB-0767,ECG-3250,504,検査機器
DC-10455,NKV-330,1996,人工呼吸器
DC-10456,NKV-330,1997,人工呼吸器
DC-10464,ECG-3250,2240,検査機器
DC-10477,AED-3151-01,23885,AED
DC-10497,SVM-7260-R,1514,モニタ
DC-10502,WEC-7201,27228,検査機器
DC-10503,WEC-7301,21366,検査機器
DC-10606,NKV-440-OM,12,人工呼吸器
DC-10515,AE-120A,673,検査機器
DC-10540,OTX-TUP-C035J,437,検査機器
DC-10552,ECG-3350,2699,検査機器
DC-10553,ECG-3350,2700,検査機器
DC-10554,ECG-3350,2701,検査機器
DC-10559,EMS-1052,2972,治療器救急関連機器
DC-10567,DC-960B,737,検査機器
DC-10569,WEP-1450-Z06,2459,モニタ
DC-10570,WEP-1450-Z06,2460,モニタ
DC-10571,WEP-1450-Z06,2461,モニタ
DC-10572,WEP-1450-Z06,2477,モニタ
0,TRN-3100,9785,AED
0,TRN-3100,9786,AED
0,TRN-3100,9787,AED
0,TRN-3150,6951,AED
0,TRN-3150,6952,AED
DC-10690,PVM-4763,21563,モニタ
DC-10692,QI-470P,10808,モニタ
DC-10691,PVM-4763,21564,モニタ
DC-10690,QI-470P,10806,モニタ
DC-10692,PVM-4763,21565,モニタ
DC-10694,QI-470P,10810,モニタ
DC-10693,PVM-4763,21566,モニタ
DC-10695,QI-470P,10811,モニタ
DC-10691,QI-470P,10807,モニタ
DC-10693,QI-470P,10809,モニタ
DC-10694,PVM-4763,21567,モニタ
DC-10696,QI-470P,10812,モニタ
DC-10695,PVM-4763,21568,モニタ
DC-10696,PVM-4763,21569,モニタ
DC-10690,PVM-4763-Q20,21563,モニタ
DC-10691,PVM-4763-Q20,21564,モニタ
DC-10692,PVM-4763-Q20,21565,モニタ
DC-10693,PVM-4763-Q20,21566,モニタ
DC-10694,PVM-4763-Q20,21567,モニタ
DC-10695,PVM-4763-Q20,21568,モニタ
DC-10696,PVM-4763-Q20,21569,モニタ
DC-10633,TRN-3100,9785,AED
DC-10634,TRN-3100,9786,AED
DC-10635,TRN-3100,9787,AED
DC-10660,TRN-3150,6951,AED
DC-10661,TRN-3150,6952,AED
DC-10733,DC-200B,759,検査機器
DC-10766,CU-152R,6654,モニタ
DC-10785,CU-172R,4946,モニタ
DC-10786,CU-172R,4947,モニタ
DC-10798,AF-201P,4453,検査機器
DC-10799,AF-201P,4454,検査機器
DC-10800,AF-201P,4455,検査機器
DC-10844,CNS-2101,2813,モニタ
DC-10845,CNS-2101,2814,モニタ
DC-10846,CNS-2101,2815,モニタ
DC-10717,UBM-4000,25EM1110,WJ検査機器
DC-10833,NKV-440-OM,20,0
DC-10896,MEK-1303,3744,0
DC-10897,MEK-1303,3745,0
DC-10898,MEK-1303,3746,0
DC-10899,MEK-1303,3747,0
DC-10900,MEK-1303,3748,0
DC-10901,MEK-1303,3749,0
DC-10902,MEK-1303,3750,0
DC-10903,MEK-1303,3751,0
DC-10904,MEK-1303,3752,0
DC-10905,MEK-1303,3753,0
DC-10906,MEK-1303,3754,0
DC-10907,MEK-1303,3755,0
DC-10996,ZS-730P,771,0
DC-10997,ZS-730P,772,0
DC-10998,ZS-730P,773,0
DC-10999,ZS-730P,774,0
DC-11000,ZS-730P,775,0
